week,team_id,team,overall_eff,off_eff,def_eff,school,conference,color,logo
8,98,Western KY,58.477000000000004,58.132,61.924,Western Kentucky,Conference USA,#F32026,http://a.espncdn.com/i/teamlogos/ncaa/500/98.png
8,2305,Kansas,71.21,82.87400000000001,47.89,Kansas,Big 12,#0022B4,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
8,277,West Virginia,59.536,68.80199999999999,36.441,West Virginia,Big 12,#FFC600,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png
8,2026,Appalachian St,50.266,69.791,36.348,Appalachian State,Sun Belt,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png
8,151,East Carolina,56.676,69.097,44.693,East Carolina,American Athletic,#4b1869,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png
8,248,Houston,56.056,50.102000000000004,58.623000000000005,Houston,American Athletic,#C90822,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png
8,2567,SMU,54.556000000000004,62.443000000000005,48.344,SMU,American Athletic,#E32F38,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
8,265,Washington St,65.23,45.857,73.272,Washington State,Pac-12,#94022a,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png
8,2390,Miami,40.958,42.135,47.556,Miami,ACC,#004325,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
8,5,UAB,57.713,45.125,68.83,UAB,Conference USA,#003b28,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png
8,150,Duke,67.759,72.42699999999999,51.808,Duke,ACC,#001A57,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png
8,68,Boise St,51.493,31.064000000000004,72.925,Boise State,Mountain West,#09347A,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png
8,235,Memphis,51.487,52.819,50.592999999999996,Memphis,American Athletic,#003087,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png
8,142,Missouri,60.361,32.064,78.33,Missouri,SEC,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png
8,2005,Air Force,55.881,61.397,46.646,Air Force,Mountain West,#004a7b,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png
8,24,Stanford,48.225,45.963,51.73799999999999,Stanford,Pac-12,#A80532,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png
8,252,BYU,49.254,71.461,34.183,BYU,FBS Independents,#001E4C,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png
8,2335,Liberty,55.335,43.599,65.13,Liberty,FBS Independents,#071740,http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png
8,9,Arizona St,50.773999999999994,50.219,52.919000000000004,Arizona State,Pac-12,#942139,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png
8,256,James Madison,61.849,42.956,81.756,James Madison,Sun Belt,#450084,http://a.espncdn.com/i/teamlogos/ncaa/500/256.png
8,2653,Troy,58.831,46.086,68.642,Troy,Sun Belt,#AE0210,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png
